idUsuario,alias,idzona,EsGBA,nombre,idprecio,idprogramacion,PrecioMotoboyHoraSemanaDiaZona,PrecioMotoboyHoraFindeDiaZona,PrecioMotoboyHora3SemanaNocheZona,PrecioMotoboyHora4SemanaNocheZona,PrecioMotoboyHora5SemanaNocheZona,PrecioMotoboyHora6SemanaNocheZona,PrecioMotoboyHora3FindeNocheZona,PrecioMotoboyHora4FindeNocheZona,PrecioMotoboyHora5FindeNocheZona,PrecioMotoboyHora6FindeNocheZona,QHora3SemanaDia,QHora4SemanaDia,QHora3FindeDia,QHora4FindeDia,QHora3SemanaNoche,QHora4SemanaNoche,QHora5SemanaNoche,QHora6SemanaNoche,QHora3FindeNoche,QHora4FindeNoche,QHora5FindeNoche,QHora6FindeNoche
55260,Fabric Sushi Villa Urquiza ,22,0,Belgrano- VillaUrquiza- Saavedra- Nuñez,77,6271,3565.0,3565.0,5020.0,4650.0,4210.0,4065.0,6220.0,5790.0,5195.0,5040.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,68.0,0.0,0.0
55262,Fabric Sushi Villa Devoto,21,0,Villa del Parque/Villa Devoto,76,6270,3625.0,3625.0,4695.0,4355.0,3935.0,3715.0,5790.0,5455.0,4925.0,4695.0,0.0,0.0,0.0,0.0,3.5,428.0,0.0,0.0,0.0,275.5,0.0,0.0
55263,Fabric Sushi Flores,161,0,Caballito/Flores/ Floresta,226,6273,3680.0,3680.0,4580.0,4310.0,3850.0,3625.0,5690.0,5365.0,4874.0,4660.0,72.0,0.0,33.0,0.0,3.0,36.0,0.0,0.0,3.0,64.0,0.0,0.0
55367,Fabric Sushi Caballito,161,0,Caballito/Flores/ Floresta,226,6273,3680.0,3680.0,4580.0,4310.0,3850.0,3625.0,5690.0,5365.0,4874.0,4660.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,0.0,0.0,68.0,0.0,0.0
55368,Fabric Sushi Villa Luro,161,0,Caballito/Flores/ Floresta,226,6273,3680.0,3680.0,4580.0,4310.0,3850.0,3625.0,5690.0,5365.0,4874.0,4660.0,0.0,0.0,0.0,0.0,3.0,176.0,0.0,0.0,0.0,68.0,0.0,0.0
